Frank, Candidate A, 1659520500
Grace, Candidate B, 1659521400
Henry, Candidate A, 1659522300
Isabel, Candidate C, 1659523200
Jack, Candidate B, 1659524100
1Alice, Candidate A, 1659516000
1Bob, Candidate B, 1659516900
1Charlie, Candidate A, 1659517800
1Diana, Candidate C, 1659518700
1Emily, Candidate B, 1659519600
1Frank, Candidate A, 1659520500
1Grace, Candidate B, 1659521400
Grace, Candidate B, 1659521400
Henry, Candidate A, 1659522300
Isabel, Candidate C, 1659523200
Jack, Candidate B, 1659524100
1Alice, Candidate A, 1659516000
1Bob, Candidate B, 1659516900
1Charlie, Candidate A, 1659517800
1Diana, Candidate C, 1659518700
1Emily, Candidate B, 1659519600
1Frank, Candidate A, 1659520500
1Grace, Candidate B, 1659521400
